household_key,recency,frequency,monetary,avg_basket_value,avg_basket_size,std_basket_value,n_unique_departments,category_hhi,national_brand_ratio,discount_rate,coupon_redemption_rate,campaign_exposure_count,active_weeks_ratio,spending_trend_slope,primary_store_share,cluster_km,cluster_hc,cluster_db,is_noise_dbscan
2375,6,114,2841.4,24.924561403508772,9.93859649122807,46.56541036785013,12,0.2781541413764205,0.7658998646820027,0.13824111900667535,0.07894736842105263,2.0,0.5490196078431373,-0.2074476872246694,0.9298245614035088,1,0,0,False
1364,1,145,2466.05,17.007241379310347,6.896551724137931,15.931604486172489,17,0.27136823426582213,0.7942157953281423,0.14722369190017257,0.006896551724137931,5.0,0.7941176470588235,0.021713306366971295,0.7586206896551724,1,0,0,False
1130,0,362,6563.15,18.13024861878453,20.11049723756906,20.222336686101603,17,0.2862067208008755,0.6074646074646075,0.19751471230159945,0.0027624309392265192,6.0,0.9607843137254902,-0.05097664936384204,0.6878453038674033,1,0,0,False
1173,74,41,655.77,15.994390243902439,1261.3902439024391,11.560716683835066,10,0.26492985322566587,0.6923076923076923,0.09082464507542148,0.0,0.0,0.22549019607843138,0.15112652887904693,0.8536585365853658,0,1,0,False
98,1,205,2547.3,12.425853658536587,8.814634146341463,11.790553250754238,12,0.5622283188167109,0.7608695652173914,0.16807644826482557,0.0,2.0,0.7058823529411765,0.6815019382898925,0.5463414634146342,0,1,0,False
1172,1,167,4569.24,27.36071856287425,92.34730538922156,28.855732127066034,15,0.3433720631349758,0.7077977720651243,0.11684174921478618,0.0,4.0,0.7254901960784313,0.44293088825086474,0.8622754491017964,1,0,0,False
1060,39,64,6096.93,95.26453125,221.28125,46.48527259284121,10,0.42033679330621465,0.8716658278812279,0.12886439590617288,0.0,9.0,0.5686274509803921,-0.3246788484578461,0.90625,1,0,0,False
1351,14,91,564.4,6.202197802197802,2.967032967032967,9.967208770340404,7,0.4621672614081624,0.43349753694581283,0.20612147297943567,0.0,2.0,0.6176470588235294,0.033721459069128226,0.38461538461538464,0,1,0,False
212,14,109,3052.66,28.00605504587156,374.11009174311926,22.60893268314575,13,0.3465936640954858,0.7896060352053647,0.12722292745965852,0.0,5.0,0.7156862745098039,-0.08479386547035621,0.8807339449541285,1,0,0,False
2052,120,6,131.83,21.971666666666668,11.166666666666666,26.457678973535582,5,0.35131218077083165,0.7450980392156863,0.22095496986171845,0.0,0.0,0.049019607843137254,-0.03831275084902743,0.5,0,1,0,False
718,4,599,19299.86,32.220133555926544,1451.9248747913189,38.69389774963302,20,0.3029758018054032,0.5345389860658167,0.1597043531113369,0.008347245409015025,15.0,1.0,-0.11984857309260336,0.8363939899833055,1,0,0,False
2483,3,83,1770.91,21.336265060240965,10.72289156626506,22.8584975772657,11,0.4031101339012253,0.5536547433903577,0.13068385424592438,0.0,1.0,0.5490196078431373,1.2139334100655317,0.6626506024096386,0,1,0,False
1617,24,103,4067.8,39.49320388349515,103.47572815533981,46.77406261756767,14,0.39489307683943453,0.7064421669106882,0.14693811641889326,0.0,8.0,0.46078431372549017,1.1651053255556219,0.27184466019417475,1,0,0,False
240,7,31,365.61,11.793870967741936,7.612903225806452,10.76994418970973,9,0.32932934209433057,0.7706422018348624,0.27579034941763725,0.0,0.0,0.16666666666666666,0.22647117134612,0.3225806451612903,0,1,0,False
1843,29,42,770.15,18.336904761904762,5.857142857142857,13.972473197648338,8,0.38113462443283347,0.797979797979798,0.11618219167077887,0.0,0.0,0.2647058823529412,0.15087391826082,0.2619047619047619,0,1,0,False
2305,7,122,6320.64,51.808524590163934,381.6967213114754,31.624728442230843,16,0.3019396874406642,0.5548245614035088,0.20531380011391026,0.12295081967213115,9.0,0.8137254901960784,-0.06353079074550289,0.5819672131147541,1,0,0,False
1916,19,150,2885.7,19.238,61.86666666666667,25.78269699681417,15,0.36999440362437674,0.7655417406749556,0.1538330713833306,0.0,7.0,0.6666666666666666,-0.050778294655762356,0.25333333333333335,1,0,0,False
480,38,90,3646.39,40.51544444444444,2948.988888888889,27.92712342569421,17,0.255767660519267,0.659330985915493,0.1692358516358334,0.0,4.0,0.5392156862745098,-0.32985797286135365,0.5777777777777777,1,0,0,False
271,7,98,1375.52,14.03591836734694,242.5612244897959,40.881005793827,11,0.23750121015492298,0.7589285714285714,0.1431863908458381,0.0,4.0,0.5784313725490197,0.5202977498843129,0.9795918367346939,0,1,0,False
255,14,18,672.09,37.33833333333334,12.88888888888889,28.032831854179587,8,0.6541620331140212,0.7888888888888889,0.19096457332707376,0.0,0.0,0.16666666666666666,-0.13939431434785615,0.5,0,1,0,False
985,2,110,2057.47,18.704272727272727,628.6818181818181,16.79525175686014,15,0.31199174243531536,0.693069306930693,0.20094218348887516,0.0,0.0,0.6176470588235294,0.45513541546300434,0.7181818181818181,0,1,0,False
2371,5,98,2138.71,21.82357142857143,8.86734693877551,25.555614802585833,11,0.28106874970616896,0.8701095461658842,0.09126407478223922,0.0,6.0,0.6470588235294118,0.032827142207934396,0.2755102040816326,0,0,0,False
347,42,15,540.76,36.050666666666665,11.933333333333334,41.71857165522786,11,0.23060612993979684,0.8125,0.08653862396324262,0.0,0.0,0.10784313725490197,-0.8199576219459025,0.6,0,1,0,False
216,0,120,2624.5,21.870833333333334,8.725,25.838152514259598,16,0.2764021863965525,0.8917378917378918,0.10239134300997305,0.0,2.0,0.6862745098039216,0.17339001394191758,0.775,1,1,0,False
1913,3,49,895.76,18.280816326530612,77.04081632653062,21.373149124225815,10,0.26535240238973984,0.717948717948718,0.19104857718254148,0.0,0.0,0.35294117647058826,0.23599534653597742,0.9387755102040817,0,1,0,False
293,17,108,3957.66,36.644999999999996,14.824074074074074,29.36512969588377,14,0.2573187606464074,0.7911040508339953,0.1553099668327165,0.0,5.0,0.5980392156862745,-0.05255972963768499,0.8425925925925926,1,0,0,False
2324,8,145,2671.77,18.426,98.9448275862069,23.618893167217742,16,0.3585125950945556,0.775599128540305,0.15734578920477124,0.034482758620689655,9.0,0.7843137254901961,0.358165321829183,0.3448275862068966,1,0,0,False
